"price","number_of_reviews","regulation","Old_Town","Etobicoke","North_York","East_York","York","Scarborough","Entire_home_apt","Hotel_room","Private_room","Shared_room"
105,41,1,1,0,0,0,0,0,1,0,0,0
74,0,1,0,0,0,0,0,1,0,0,1,0
78,0,0,0,0,0,0,0,1,0,0,1,0
245,27,0,1,0,0,0,0,0,1,0,0,0
245,27,1,1,0,0,0,0,0,1,0,0,0
102,97,0,1,0,0,0,0,0,1,0,0,0
176,54,1,1,0,0,0,0,0,1,0,0,0
81,286,0,1,0,0,0,0,0,1,0,0,0
81,286,1,1,0,0,0,0,0,1,0,0,0
71,3,0,1,0,0,0,0,0,0,0,1,0
71,3,1,1,0,0,0,0,0,0,0,1,0
100,4,1,1,0,0,0,0,0,1,0,0,0
100,4,0,1,0,0,0,0,0,1,0,0,0
65,25,1,1,0,0,0,0,0,1,0,0,0
85,0,0,1,0,0,0,0,0,0,0,1,0
85,0,1,1,0,0,0,0,0,0,0,1,0
95,15,1,1,0,0,0,0,0,0,0,1,0
95,15,0,1,0,0,0,0,0,0,0,1,0
120,26,0,1,0,0,0,0,0,1,0,0,0
107,35,0,1,0,0,0,0,0,1,0,0,0
109,33,0,1,0,0,0,0,0,1,0,0,0
178,68,0,1,0,0,0,0,0,0,0,1,0
178,68,1,1,0,0,0,0,0,0,0,1,0
